title;image_link;first_name;last_name;infix;publication_year;audiobook;pages;blurb;summary;themes;reading_level;recommendation_text;review_text;review_link;secondary_literature_text;secondary_literature_link
De reis van de lege flessen;https://media.s-bol.com/V7XnP8YGZm9v/130x210.jpg;Kader;Abdolah;;1997;Openbare Bibliotheek;156;Een asielzoeker doet zijn best om te integreren in Nederland.;"Bolfazl is gevlucht uit Iran. In Nederland probeert hij te integreren. Samen met zijn gezin woont hij in een klein plaatsje aan de oever van de IJssel. Zijn buurman, René, gescheiden vader van een dochtertje, en homo, vangt hem op en probeert hem wegwijs te maken in ons land. Als de moeder van Bolfazl komt logeren, heeft ze grote moeite met het idee dat ze naast een homofiele man logeert, hoe attent die ook voor haar is.
René verhuist en verdwijnt later definitief uit het leven van Bolfazl. Deze realiseert zich dat zijn vrouw en zijn kind zich gemakkelijker aanpassen aan de nieuwe situatie.
Bolfazl beseft dat hij vooruit moet en ondanks de problemen die hij op zijn pad vindt en die hem nog vaak doen terugdenken aan zijn land van herkomst, merkt hij dat hij zich langzaam maar zeker in ons land gaat thuis voelen.";"""rebellie"",""liefde"",""andere-plaatsen-andere-tijden""";3;;;;;
Het huis van de moskee;https://media.s-bol.com/qZJ6gx4AVQ2p/133x210.jpg;Kader;Abdolah;;2005;Openbare Bibliotheek;400;Het leven in een Iraans dorp in de afgelopen vijftig jaar.;"Het huis van de moskee is een roman over een oude Perzische familie die al heel lang de zorg over de grote moskee heeft. Maar het is ook een roman over de politieke ontwikkelingen in Iran, waar de sjah probeerde zijn land te moderniseren en toen grote problemen kreeg met de overwegend nog streng gelovige bevolking. De huidige politieke situatie is een rechtstreeks voortvloeisel uit de revolutie die in dit boek treffend beschreven wordt.
Het boek eindigde in de verkiezing van het belangrijkste Nederlandse literaire werk aller tijden op de tweede plaats!";"""andere-plaatsen-andere-tijden"",""eenzaamheid"",""liefde"",""misdaad"",""oorlog"",""psychische-gestoordheid"",""ziekte-en-dood"",""vrouwenstrijd""";3;;;;;
Spijkerschrift;https://media.s-bol.com/Y56L8DN7XpRO/voxgg5L/130x210.jpg;Kader;Abdolah;;2000;Openbare Bibliotheek;374;Het levensverhaal van een doofstomme Pers in de woelige jaren rondom de Revolutie, verteld door zijn zoon;"Spijkerschrift gaat over Aga Akbar, de doofstomme vader van Ismaiel. Aga heeft in de loop van zijn leven zijn ervaringen opgetekend in een zelf ontworpen spijkerschrift. Na Aga""s dood krijgt Ismaiel, die om politieke redenen naar Nederland is gekomen, de op het eerste gezicht volstrekt onbegrijpelijke aantekeningen van zijn vader thuisbezorgd. Ismaiel, die vroeger al de gebarentaal van zijn vader moest ""vertalen"" voor anderen, maakt van de aantekeningen de levensbeschrijving van zijn vader. Een meeslepend verhaal!";"""andere-plaatsen-andere-tijden"",""liefde"",""op-zoek-naar-je-wortels"",""ouders-en-kinderen"",""rebellie""";4;;;;;
De koningin van Paramaribo;https://media.s-bol.com/39mK383vXNEn/131x210.jpg;Clar;Accord;;1999;Openbare Bibliotheek;317;In 'De koningin van Paramaribo' volgen we Wilhelmina Rijburg alias Maxi Linder van haar geboorte in 1902 tot haar dood in 1981, via de ogen en levens van anderen.;"In 'De koningin van Paramaribo' volgen we Wilhelmina Rijburg alias Maxi Linder van haar geboorte in 1902 tot haar dood in 1981, via de ogen en levens van anderen. Haar hardwerkende en bezorgde ouders doen er alles aan hun dochter, die in de hoerenbuurt opgroeit, een goede opvoeding te geven. Toch 'gaat het mis’. Wat zij niet weten is dat Nelis, een goede kennis en buurman, Wilhelmina op twaalfjarige leeftijd verkracht. Nelis verdwijnt spoorloos en Wilhelmina is getekend voor het leven.

Ze besluit op advies van een goede vriendin en prostituee in ruste haar ‘schat’ voortaan duur te verkopen. Hoewel ze een gegoede klantenkring opbouwt van Nederlanders in het koloniale tijdperk en Amerikanen tijdens de Tweede Wereldoorlog, die zich verwonderen over haar acrobatische kunsten in bed, heeft haar bestaan als prostituee ook een keerzijde.";;2;;;;;
Een soort Engeland;https://media.s-bol.com/qx7xVgJgY8y3/137x210.jpg;Robert;Anker;;2002;Openbare Bibliotheek;268;Een succesvolle acteur zoekt al dertig jaar naar de zin van zijn leven en werk, maar wordt dan geconfronteerd met zijn dochter die hij sinds ze baby was niet meer gezien heeft.;;;3;;;https://www.volkskrant.nl/nieuws-achtergrond/bijna-ziekmakend-realistisch~b71c3b88/;;
Noodzakelijk kwaad;https://media.s-bol.com/V7XnLVDZX9n5/lxR5VzV/117x210.jpg;René;Appel;;2002;Openbare Bibliotheek;268;In het gezin van een bouwondernemer leiden grote spanningen tussen de ouders en hun opstandige dochter, maar ook tussen de ouders onderling tot een drama.;Menno, bouwondernemer, neemt het niet zo nauw met de regels. Hij heeft een 'dure' vrouw, Franka, en een opstandige dochter, Cecile. Dat Franka overspel pleegt met zijn compagnon Wouter, weet hij niet. Dat Cecile na knallende ruzies thuis wegloopt en gaat samenwonen met de lesbische Danny, in een kraakpand, stemt hem bepaald niet gelukkig. Hij denkt echter de zaken nog wel onder controle te hebben. Maar door een domme samenloop van omstandigheden ontstaat er een drama, en komen hij én die vier mensen om hem heen stuk voor stuk in grote problemen.;"""de-adolescent"",""eenzaamheid"",""liefde"",""misdaad"",""ouders-en-kinderen"",""vrouwenstrijd""";2;;;;;
Confrontaties;https://media.s-bol.com/RKAKrl2LqG70/3rjoon/134x210.jpg;Simone;Atangana Bekono;;2020;Openbare Bibliotheek;221;Een jong meisje zit in een jeugdgevangenis nadat ze twee schoolgenoten zwaar heeft mishandeld.;Salomé is veroordeeld tot zes maanden jeugddetentie, na de mishandeling van twee schoolgenoten. Woede, eenzaamheid, verdriet en ook angst houden haar in hun greep: want ze moet ook weer terug naar huis, naar haar ouders en zus, én naar haar dorp, waar haar slachtoffers wonen.;"Andere-plaatsen-andere-tijden"", ""de-adolescent"", ""Misdaad"", ""Eenzaamheid"",""Op-zoek-naar-je-wortels"", ""Ouders-en-kinderen"", ""Rebellie"", ""School"", ""Vrouwenstrijd"", ""Familie""";3;;;;;
Perenbomen bloeien wit;https://media.s-bol.com/z7WYmPXvgxMY/130x210.jpg;Gerbrand;Bakker;;1999;Openbare Bibliotheek;137;De tweeling Klaas en Kees en hun jongere broer Gerson spelen vaak 'zwart', een spel waarbij de belangrijkste regel is dat zij hun ogen niet open mogen doen.;Het is het verhaal van Helmer van Wonderen die, nadat zijn tweelingbroer bij een ongeluk om het leven gekomen is, min of meer gedwongen wordt door zijn vader om diens plaats op de boerderij in te nemen, terwijl hij heel andere plannen had. Als zijn vader oud geworden is en Helmer de touwtjes in handen heeft, neemt hij wraak op hem. Maar er verandert nog meer in zijn leven, als hij eenmaal de eerste stap gezet heeft.;;3;;;https://www.volkskrant.nl/cultuur-media/van-blind-spelen-tot-blind-zijn~ba5a5719/;;
Lopen voor je leven;https://media.s-bol.com/JXKJAqNBPo8v/Qky82L/131x210.jpg;Els;Beerten;;2003;Openbare Bibliotheek;183;Tijdens het lopen van een marathon komen bij Noor allerlei herinneringen boven, waaronder die aan een gruwelijke gebeurtenis uit haar jeugd.;Tijdens het lopen van haar eerste marathon overdenkt de achttienjarige Noor de gebeurtenissen uit haar leven, hoe schuldgevoel vanwege de dood van een vriendinnetje haar tot op dat moment in zijn greep houdt.;"""sport"",""de-adolescent"",""eenzaamheid"",""ouders-en-kinderen"",""psychische-gestoordheid"",""ziekte-en-dood"",""vrouwenstrijd""";2;;;;;
23 Seconden;https://media.s-bol.com/xkmLYO5X0r4n/132x210.jpg;Kees;Beijnum;van;2019;Openbare Bibliotheek;389;Een jonge vrouw, wier moeder, prostituee op de Wallen, destijds is vermoord, gaat op zoek naar wat er destijds precies gebeurd is en komt tot schokkende ontdekkingen;Anne was 18 toen haar moeder in haar peeskamer op de Wallen werd vermoord. Ze wil een roman schrijven over haar jeugd en daar hoort het verhaal van die moord natuurlijk ook in. Ze zoekt oude kennissen op, merkt dat er nogal wat onduidelijkheden zijn terwijl de zaak destijds heel helder leek, en komt erachter dat sommige mensen heel ver willen gaan om haar te verhinderen om door te zoeken. De uitkomst van haar zoektocht is schokkend!;"""andere-plaatsen-andere-tijden"",""eenzaamheid"",""kunst-en-kunstenaar"",""liefde"",""misdaad"",""op-zoek-naar-je-wortels"",""ouders-en-kinderen"",""ziekte-en-dood""";3;;;;;
